WORD,WORD_LOWER,HAP_MEAN,HAP_STD,ANG_MEAN,ANG_STD,SAD_MEAN,SAD_STD,FEA_MEAN,FEA_STD,DIS_MEAN,DIS_STD,BasicEmoCat conservative,BasicEmoCat liberal
AUFZUCHT,aufzucht,1.7,0.801314709,1.5,0.888523317,1.15,0.366347549,1.25,0.716350399,1.55,0.944513241,,HAP
AUGE,auge,2.285714286,1.27054544,1.095238095,0.300792604,1.19047619,0.679635757,1.333333333,0.730296743,1.857142857,1.014185106,,HAP
AUGUST,august,2.952380952,1.564486832,1.142857143,0.478091444,1.19047619,0.511766316,1.095238095,0.43643578,1.142857143,0.478091444,HAP,HAP
AUSBAU,ausbau,1.681818182,0.8937009,1.181818182,0.394771017,1.045454545,0.213200716,1.181818182,0.394771017,1.136363636,0.467562529,,HAP
AUSBLICK,ausblick,3,1.213953957,1.05,0.223606798,1.15,0.366347549,1.25,0.716350399,1,0,HAP,HAP
AUSBRUCH,ausbruch,1.35,0.812727701,2.15,1.308876577,1.5,0.945905303,2.25,1.29269201,1.25,0.716350399,,FEA
AUSDAUER,ausdauer,2,1.213953957,1,0,1,0,1.1,0.307793506,1.05,0.223606798,,HAP
AUSFALL,ausfall,1.45,1.099042646,2.4,1.313893371,1.15,0.489360485,1.55,0.759154655,1.1,0.447213595,,ANG
AUSFLUG,ausflug,3.7,1.260743306,1.05,0.223606798,1.05,0.223606798,1.15,0.366347549,1.05,0.223606798,HAP,HAP
AUSGABE,ausgabe,1.55,0.887041208,1.4,1.095445115,1.05,0.223606798,1.2,0.695852374,1,0,,HAP
AUSKUNFT,auskunft,1.95,0.998683344,1.1,0.307793506,1.1,0.447213595,1.05,0.223606798,1,0,,HAP
AUSMAß,ausmaß,1.181818182,0.394771017,1.363636364,0.789542034,1.272727273,0.550481883,1.5,0.859124693,1.090909091,0.294244943,,FEA
AUSNAHME,ausnahme,1.6,0.820782682,1.4,0.680557047,1.15,0.489360485,1.25,0.550119604,1.05,0.223606798,,HAP
AUSSAGE,aussage,1.25,0.638666374,1.2,0.523148364,1,0,1.35,0.933302004,1,0,,FEA
AUSSICHT,aussicht,2.85,1.089422831,1,0,1.1,0.447213595,1.15,0.366347549,1,0,HAP,HAP
AUSSTIEG,ausstieg,1.35,0.587142949,1.55,0.887041208,1.35,0.670820393,1.4,0.680557047,1,0,,ANG
AUSWAHL,auswahl,2.05,1.099042646,1.4,0.598243042,1.05,0.223606798,1.15,0.489360485,1,0,,HAP
AUSWURF,auswurf,1.1,0.447213595,1.2,0.695852374,1.05,0.223606798,1.25,0.550119604,2.5,1.504379571,,DIS
AVERSION,aversion,1.05,0.223606798,2.1,1.165287405,1.15,0.366347549,1.55,0.887041208,2.15,1.308876577,,DIS
BABY,baby,3.55,1.316894273,1.55,0.998683344,1.4,0.994722918,2.25,1.29269201,1.5,1.100239208,,HAP
BACH,bach,3.523809524,1.123345344,1.19047619,0.511766316,1.238095238,0.538958431,1.428571429,0.676123404,1.095238095,0.300792604,HAP,HAP
BAGGER,bagger,1.636363636,1.09307145,1.227272727,0.751621624,1,0,1.136363636,0.467562529,1.181818182,0.501081082,,HAP
BAHRE,bahre,1.2,0.523148364,1.7,1.080935268,2.8,1.472555959,2.85,1.225818738,1.95,1.35627198,,FEA
BAKTERIE,bakterie,1.05,0.223606798,1.85,1.182103388,1.35,0.74515982,2.55,1.276302225,3.05,1.316894273,,DIS
BALANCE,balance,2.95,1.190974833,1.1,0.447213595,1.1,0.307793506,1.15,0.366347549,1,0,HAP,HAP
BALKEN,balken,1.25,0.675663925,1.291666667,0.750603622,1.125,0.448427203,1.333333333,0.637022057,1.166666667,0.481543412,,FEA
BALKON,balkon,2.909090909,1.269011273,1.136363636,0.351250087,1.136363636,0.467562529,1.272727273,0.631085096,1.045454545,0.213200716,HAP,HAP
BALL,ball,2.904761905,1.445847914,1.333333333,0.795822426,1.19047619,0.872871561,1.238095238,0.538958431,1,0,HAP,HAP
