Source,Description,Category,Sound ID,BE Classification,AroMN,AroSD,ValMN,ValSD,DomMN,DomSD,FearMN,FearSD,HapMN,HapSD,SadMN,SadSD
IADS,SportsCrowd,Scenarios,352,H,7.21 ,1.53 ,6.21 ,1.77 ,5.13 ,1.87 ,2.50 ,1.67 ,6.88 ,2.13 ,1.63 ,0.88 
IADS,Baseball,Scenarios,353,H,7.33 ,1.27 ,6.96 ,1.04 ,5.38 ,2.18 ,1.58 ,0.58 ,6.50 ,1.84 ,1.46 ,0.93 
IADS,Crowd4,Scenarios,355,H,6.95 ,1.43 ,6.00 ,1.35 ,5.41 ,1.79 ,2.32 ,1.59 ,6.64 ,1.84 ,1.50 ,0.80 
IADS,Writing,Daily Routine Sound,358,H,5.14 ,1.78 ,4.77 ,1.74 ,5.77 ,2.14 ,2.68 ,2.08 ,3.45 ,2.22 ,2.27 ,1.67 
IADS,RollerCoaster,Scenarios,360,FH,7.00 ,1.20 ,4.14 ,1.32 ,3.91 ,2.07 ,4.82 ,2.13 ,4.41 ,2.65 ,2.64 ,2.06 
IADS,Restaurant,Scenarios,361,H,6.32 ,1.76 ,4.64 ,1.59 ,5.00 ,2.07 ,2.27 ,1.86 ,4.64 ,2.13 ,1.77 ,0.97 
IADS,HorseRace,Music,363,H,7.38 ,1.17 ,6.71 ,1.23 ,5.38 ,1.91 ,1.42 ,0.65 ,6.79 ,1.74 ,1.38 ,0.92 
IADS,Bar,Scenarios,364,H,6.55 ,1.22 ,4.77 ,1.66 ,5.00 ,1.51 ,2.91 ,1.74 ,5.73 ,1.78 ,1.55 ,0.80 
IADS,Party,Scenarios,365,H,6.00 ,1.89 ,4.60 ,1.71 ,4.52 ,2.31 ,2.40 ,2.08 ,5.36 ,2.04 ,2.24 ,2.18 
IADS,Casino1,Electric sound,366,H,6.27 ,1.86 ,5.36 ,2.01 ,5.91 ,2.24 ,2.59 ,1.76 ,5.45 ,2.32 ,2.36 ,2.04 
IADS,Casino2,Electric sound,367,H,6.88 ,1.03 ,5.21 ,1.41 ,5.33 ,2.24 ,1.71 ,1.23 ,5.46 ,2.28 ,1.50 ,1.06 
IADS,Crowd5,Scenarios,368,H,5.77 ,1.66 ,5.32 ,1.17 ,5.23 ,1.88 ,2.91 ,1.69 ,5.32 ,1.70 ,1.77 ,1.19 
IADS,CourtSport,Daily Routine Sound,370,H,4.58 ,1.84 ,5.92 ,1.18 ,5.75 ,1.92 ,1.75 ,1.15 ,4.33 ,2.18 ,1.58 ,1.18 
IADS,Paint,Daily Routine Sound,373,H,4.18 ,1.56 ,5.14 ,1.55 ,6.00 ,1.88 ,2.36 ,1.87 ,3.41 ,2.67 ,1.59 ,0.96 
IADS,Sink,Daily Routine Sound,374,H,4.56 ,1.36 ,5.64 ,1.15 ,6.40 ,2.04 ,2.68 ,1.86 ,3.36 ,1.68 ,2.20 ,1.63 
IADS,Polaroid,Daily Routine Sound,375,H,4.41 ,1.53 ,5.32 ,0.65 ,6.27 ,1.55 ,1.86 ,1.08 ,4.82 ,2.02 ,1.68 ,1.21 
IADS,Lawnmower,Transport,376,FH,5.33 ,1.58 ,4.33 ,1.40 ,5.17 ,2.48 ,3.42 ,2.19 ,3.54 ,2.26 ,1.79 ,1.56 
